AvyYear,YYYY,MM,DD,Location,Trigger,D Size,Setting,State,lat,lon,PrimaryActivity,TravelMode,Killed,Description,Date
2015,2014,12,31,Kelso Mountain,,,BC,CO,39.65381,-105.79688,Climber,Snowshoe,1,"One climber, traveling on snowshoes, caught, buried, and killed",12/31/14
2015,2014,12,6,"Rainbow Ridge area, Delta Range",,,BC,AK,63.30806,-145.68832,Backcountry Tourer,Ski,1,"2 backcountry tourers caught, 1 injured,1 killed",12/6/14
2015,2014,11,26,"Near Henderson Peak, Cooke City",,,BC,MT,45.03989,-109.94394,Snowmobiler,Snowmobile,1,"One snowmobiler caught, buried, and killed",11/26/14
2014,2014,5,28,"Liberty Ridge, Mount Rainier",,,BC,WA,46.85409,-121.75873,Climber,Foot,6,"6 climbers caught, buried and killed",5/28/14
2014,2014,5,14,North face of Mount Shuksan,,,BC,WA,48.83072,-121.60287,Backcountry Tourer,Foot,1,1 backcountry tourer (on ascent) caught and killed,5/14/14
2014,2014,5,3,"Olson Gulch, west of Anaconda",,,BC,MT,46.16521,-113.08846,Backcountry Tourer,Ski,1,"1 backcountry skier caught, died on scene",5/3/14
2014,2014,4,28,Crater Lake National Park,,,BC,OR,42.94208,-122.10402,Hiker,Snowshoe,1,1 snowshoer caught in cornice fall,4/28/14
2014,2014,4,14,"Paulina Peak, south of Bend",,,BC,OR,43.72534,-121.23121,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",4/14/14
2014,2014,4,3,Granite Mountain,,,BC,WA,47.42995,-121.63033,Backcountry Tourer,Ski,1,"1 backcountry tourer caught, buried, and killed",4/3/14
2014,2014,3,19,"Kicking Horse Valley, west of Haines",,,BC,AK,59.174833,-135.94405,Mechanized Guide,Ski,1,"1 heliski guide caught, buried, and died from injuries",3/19/14
2014,2014,3,11,"Cooke City, Montana",,,BC,MT,45.04988,-109.96267,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",3/11/14
2014,2014,3,10,"Altoona, about 10 miles northeast of Philipsburg, Montana",,,BC,MT,46.22165,-113.1427,Backcountry Tourer,Ski,1,1 skier caught and killed,3/10/14
2014,2014,3,7,"Gold Hill, Uinta Mountains",,,BC,UT,40.81277,-110.89685,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",3/7/14
2014,2014,3,5,"Sharkstooth Peak, La Plata Mountains",,,BC,CO,37.46096,-108.0689,Snowmobiler,Snowmobile,1,"1 snowmobiler fully buried, missing and presumed dead",3/5/14
